№,Язык,Родной язык по версии Encarta[4],Средоточие,Территории распространения,Самоназвание(образец письменности)
1,Китайский,1 212 560 000,Китай,"Китай, Тайвань, Сингапур, Малайзия","中文, 汉语"
2,Арабский,422 039 637,,"страны Северной Африки, Саудовская Аравия, Ирак, Сирия, Йемен и др. страны Ближнего Востока",العربية
3,Хинди,366 000 000,Индия,Индия,हिन्दी
4,Английский,341 000 000,Англия,"Великобритания, США, Канада, Австралия, Новая Зеландия, Папуа — Новая Гвинея и многие другие страны Океании, Ирландия, Восточная Африка, Южная Африка, Нигерия, Гамбия, Гана, Сьерра-Леоне, Либерия, Гайана, Белиз, большинство стран Вест-Индии, Кипр, Мальта, Филиппины",English
5,Испанский,322 200 637,Испания,"Испания, Южная Америка (кроме Бразилии, Суринама, Гайаны и Французской Гвианы), Мексика, Центральная Америка (кроме Белиза), Экваториальная Гвинея, Куба, Доминиканская Республика","Español, Castellano"
6,Бенгальский,207 000 000,Бенгалия,"Бангладеш, Индия",বাংলা Bāṇlā
7,Португальский,176 000 000,Португалия,"Португалия, Ангола, Бразилия, Гвинея-Бисау, Кабо-Верде, Мозамбик, Сан-Томе и Принсипи, Восточный Тимор, Макао",Português
8,Русский,167 000 000,Россия,"Россия, Украина, Казахстан, Белоруссия, Литва, Латвия, Эстония, Абхазия, Киргизия, Молдавия, Южная Осетия, Таджикистан, Грузия, Армения, Азербайджан, Туркменистан, Узбекистан, Германия, Израиль и другие страны",Русский язык
9,Японский,125 000 000,Япония,Япония,日本語
10,Немецкий,100 130 000,Германия,"Германия, Австрия, Швейцария, Люксембург, Лихтенштейн, Бельгия",Deutsch
11,Корейский,78 000 000,Корея,"Республика Корея, КНДР, КНР, США, Япония","한국어, 조선말"
12,Французский,78 000 000,Франция,"Франция, Монако, Люксембург, Бельгия, Швейцария, Италия (Валле-д’Аоста), Канада (провинция Квебек), Западная и Центральная Африка, Джибути, Тунис, Коморские Острова, Вануату, США (Луизиана)",Français
13,Яванский,75 567 550,Индонезия,Индонезия,"Basa Jawa, Basa Jawi"
14,Телугу,69 666 000,Индия,Индия,తెలుగు
15,Маратхи,68 022 000,Индия,Индия,मराठी
16,Вьетнамский,68 000 000,Вьетнам,"Вьетнам, США, Камбоджа, Франция",Tiếng Việt
17,Тамильский,66 000 000,Индия,"Индия, Шри-Ланка, Сингапур, Малайзия",தமிழ்
18,Итальянский,62 000 000,Италия,"Италия, Сан-Марино, Ватикан, Швейцария (Тичино)",Italiano
19,Турецкий,61 000 000,Турция,"Турция, Германия, Болгария, Кипр",Türk dili (Türkçe)
20,Урду,60 290 000,Пакистан,"Пакистан, Индия","اردو, Urdu"
21,Панджаби,57 129 000,Пакистан,"Пакистан, Индия","ਪੰਜਾਬੀ, پنجابی"
22,Украинский,47 000 000,Украина,"Украина, Молдавия, США, Канада, Польша, Россия, Румыния, Словакия",Українська мова
23,Гуджарати,46 100 000,Индия,Индия,ગુજરાતી
24,Тайский,46 050 000,Таиланд,Таиланд,ภาษาไทย
25,Польский,44 000 000,Польша,"Польша, Литва, Белоруссия","język polski, polszczyzna"
26,Малаялам,35 706 000,Индия,Индия,മലയാളം
27,Каннада,35 346 000,Индия,Индия,ಕನ್ನಡ
28,Ория,32 300 000,Индия,Индия,ଓଡ଼ିଆ
29,Бирманский,32 250 000,Мьянма,Мьянма (Бирма),ဗမာစာ
30,Азербайджанский,31 423 000,Азербайджан,"Иран, Азербайджан, Россия (Дагестан), Турция, Грузия, Ирак (туркоманы)","Azərbaycan dili, Azərbaycan türkcəsi, Türk dili, Azəri."
31,Персидский,31 280 000,Иран,"Иран, Афганистан, Таджикистан, Узбекистан",فارسی
32,Сунданский,27 000 000,Индонезия,Индонезия,Basa Sunda
33,Пушту,26 811 657,Афганистан,Афганистан,پښتو
34,Румынский,26 265 555,Румыния,"Румыния, Молдавия, Украина",Limba română
35,Бходжпури,26 254 000,Индия,Индия,भोजपुरी
36,Хауса,24 200 000,Западная Африка,Западная Африка,Hausa / هَوُس (до 1930-х годов)
37,Майтхили,24 191 900,Индия,Индия,मैथिली
39,Сербохорватский,21 000 000,"Сербия, Хорватия,",бывшая Югославия (кроме Словении и Северной Македонии),"Српскохрватски језик, Srpskohrvatski jezik"
40,Авадхи,20 540 000,Индия,Индия,अवधी
41,Узбекский,20 051 000,Узбекистан,"Узбекистан, Афганистан, Таджикистан, Киргизия, Туркменистан, Казахстан, Россия","O‘zbek tili, Ўзбек тили, ئۇزبېك تیلى"
42,Йоруба,20 000 000,Нигерия,Нигерия,Yorùbá
43,Нидерландский,20 000 000,Нидерланды,"Нидерланды, Бельгия, Суринам",Nederlands
44,Синдхи,19 720 000,Пакистан,Пакистан,सिन्धी / سنڌي
45,Игбо,18 000 000,Нигерия,Нигерия,Igbo
46,Амхарский,17 413 000,Эфиопия,Эфиопия,አማርኛ
47,Оромо,17 232 000,Эфиопия,Эфиопия,Afaan Oromoo
48,Индонезийский,17 070 000,Индонезия,Индонезия,Bahasa Indonesia
49,Тагальский,17 000 000,Филиппины,Филиппины,Tagalog
50,Непальский,16 056 000,Непал,Непал,नेपाली
51,Ассамский,15 374 000,Индия,Индия,অসমিয়া
52,Сараики,15 059 000,Пакистан,Пакистан,"سرائیکی, ਸਰਾਇਕੀ, सराइकी"
53,Себуанский,15 000 000,Филиппины,Филиппины,Sugboanon
54,Венгерский,14 500 000,Венгрия,"Венгрия, Румыния, Украина",Magyar nyelv
55,Читтагонг,14 000 000,Бангладеш,Бангладеш,চাটগাঁইয়া বুলি
56,Чжуанский,14 000 000,Китай,КНР,Sawcuengh
57,Шона,14 000 000,Зимбабве,Зимбабве,Shona (chiShona)
58,Мадурский,13 694 000,Индонезия,Индонезия,Basa Mathura
59,Сингальский,13 220 000,Шри-Ланка,Шри-Ланка,සිංහල
60,Марвари,13 183 000,Индия,Индия,मारवाड़ी
61,Магахи,13 000 000,Индия,Индия,मगही
62,Харьянви,13 000 000,Индия,Индия,हरियाणवी
63,Греческий,12 000 000,Греция,"Греция, Кипр",Ελληνικά
64,Чешский,12 000 000,Чехия,Чехия,"Čeština, Česky"
65,Чхаттисгархи,11 535 000,Индия,Индия,छत्तिसगढ़ी
66,Фула,11 428 700,Западная Африка,Западная Африка,"Pulaar, Fulfulde"
67,Дакхни[en],10 709 800,Индия,Индия,
68,Малагасийский,10 484 000,Мадагаскар,Мадагаскар,Malagasy
69,Белорусский,10 200 000,Белоруссия,"Белоруссия, Польша",Беларуская мова
